cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
35055	12	35	74	30	109	316	False
9402	7	13	15	29	56	198	True
43315	3	5	14	9	10	31	False
31445	6	11	23	14	16	104	False
31750	11	21	33	27	59	147	False
38522	4	7	14	11	12	19	False
16647	13	50	89	37	151	724	False
33591	13	98	228	38	301	888	False
5200	2	2	5	4	4	5	False
9537	9	19	229	28	58	296	True
29443	11	83	187	39	316	1647	True
16860	1	2	4	5	5	6	False
167	2	2	4	2	2	5	False
30295	6	12	24	22	42	84	False
38321	9	23	32	28	76	225	True
23961	11	35	50	34	159	1006	True
2195	7	9	17	15	25	44	False
2826	1	1	1	1	1	1	False
49158	8	21	35	27	57	506	True
10626	1	1	1	1	1	1	False
10411	10	33	116	32	115	253	True
33042	9	15	93	30	87	148	True
30272	8	9	14	18	31	55	False
16135	2	2	4	2	3	12	False
41172	8	14	30	22	41	89	False
46910	12	42	158	32	126	526	False
45624	7	12	41	24	48	102	False
41581	8	13	36	20	54	140	True
35058	13	53	161	35	131	1519	True
40635	4	6	8	13	14	17	False
47684	4	5	9	16	23	83	False
45204	1	2	4	1	1	1	False
10695	5	10	12	17	24	49	False
27946	3	5	15	4	6	7	False
19876	9	17	28	21	40	136	False
4050	5	6	13	16	19	42	False
11251	3	4	7	8	12	17	False
28617	11	16	48	27	56	574	True
19656	5	7	36	10	12	27	True
12940	10	24	78	35	120	503	True
2343	5	9	16	14	16	21	False
924	10	22	43	30	71	490	False
47898	10	19	30	33	102	1534	True
28591	7	16	41	27	69	861	True
19626	9	31	201	34	145	714	True
930	7	16	208	24	64	347	False
7751	1	1	1	1	1	1	False
21584	4	4	11	12	20	43	False
38856	1	1	3	1	1	1	False
4806	1	1	2	1	1	1	False
52244	4	4	9	17	22	95	False
26232	1	1	3	1	1	1	False
17829	9	28	75	29	86	214	False
40443	2	3	5	12	15	20	False
23620	8	17	64	28	108	573	False
18614	2	2	4	3	4	10	False
4887	2	2	12	12	13	38	False
49431	4	10	38	22	34	184	False
36269	1	1	4	2	2	6	False
9386	11	23	38	34	140	406	False
16355	1	1	1	2	2	7	False
32612	5	6	7	17	20	361	False
12103	1	1	4	1	1	2	False
15590	9	17	78	32	110	286	True
11814	2	2	10	1	1	2	False
4884	1	1	2	1	1	31	False
30086	5	6	9	19	26	56	False
18946	5	8	58	18	31	197	False
24477	3	5	9	20	30	84	False
14018	7	12	19	20	33	353	True
47429	2	3	12	12	17	63	False
1895	1	2	5	1	1	1	False
33857	12	37	154	32	137	671	False
40272	1	1	2	6	6	12	True
1627	4	5	13	8	10	104	False
1540	13	58	128	35	201	1356	False
8681	9	16	232	25	58	172	True
43547	10	20	52	25	81	766	True
27490	7	12	73	28	66	340	False
