cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
1356	4	4	7	8	9	45	False
51230	10	15	53	25	48	796	False
30741	5	7	17	18	28	106	False
36384	9	15	46	27	48	156	False
30798	3	5	24	12	15	38	False
36929	7	8	20	17	26	34	False
46216	1	1	1	1	1	1	False
29784	1	1	1	9	10	18	False
42301	1	1	2	1	1	1	False
21041	7	13	17	31	67	1675	True
3877	4	10	21	13	17	33	False
2500	3	3	6	7	9	14	False
6378	9	10	24	20	32	91	False
45163	4	5	5	11	12	56	False
35101	9	14	72	21	37	86	False
34109	2	3	7	16	21	125	False
30823	2	2	5	5	6	42	False
28146	3	4	8	10	10	67	False
30860	1	1	2	1	1	4	False
26381	9	29	69	32	105	671	True
9212	7	12	21	11	15	23	False
30752	4	7	97	12	15	60	False
30818	3	3	7	4	4	8	False
3915	5	7	20	13	21	80	True
20915	6	8	10	14	20	27	False
7109	8	13	38	25	48	142	False
17038	5	9	25	13	21	47	False
34444	11	23	96	23	46	120	True
22640	11	36	81	33	123	423	True
10410	11	33	157	33	105	221	True
39989	7	10	25	18	34	199	False
41568	7	17	42	20	39	223	False
44232	8	12	19	18	24	110	True
25205	4	5	14	10	13	22	True
44266	4	5	48	1	1	2	False
25246	4	4	9	8	11	21	False
1798	11	40	323	35	128	307	False
30284	7	13	25	17	26	164	True
9734	2	2	4	6	6	15	False
7311	1	1	3	1	1	1	False
39131	6	10	56	13	17	27	False
39073	6	11	23	23	36	88	False
4438	10	21	77	24	59	189	False
45415	7	10	75	9	15	51	False
46355	3	5	30	13	19	130	False
45841	1	2	7	12	12	21	False
35522	1	1	3	2	2	2	False
35294	12	28	46	31	80	217	True
20408	2	3	10	8	11	21	False
46354	2	2	2	1	1	2	False
46327	7	11	26	13	17	27	False
45440	3	5	7	4	5	8	False
16503	6	10	19	11	13	54	True
12998	3	3	6	6	6	17	False
8223	3	3	85	3	3	4	False
15594	10	47	143	27	93	423	True
41566	5	13	28	17	36	400	False
30978	6	15	41	21	33	112	False
10075	5	6	15	9	10	15	True
16639	12	79	651	33	222	1573	True
29307	1	1	3	2	2	4	False
13579	11	39	114	33	93	178	False
512	3	4	10	8	10	17	False
43308	2	2	10	1	1	1	False
43328	1	1	6	1	1	1	False
110	7	20	51	23	38	53	False
26176	6	11	17	13	17	35	False
34505	1	1	7	3	4	38	False
22510	10	25	45	33	94	190	True
32616	5	10	90	13	20	83	False
10112	2	2	3	4	4	6	False
28124	2	3	3	1	1	1	False
31815	2	2	2	3	3	4	False
16839	10	20	43	21	33	84	True
20195	4	5	6	10	15	28	False
13600	10	14	16	17	20	34	False
33160	1	1	3	2	2	4	False
5455	6	9	24	15	23	30	False
8226	7	8	14	15	20	871	True
21274	5	9	14	11	15	29	False
33587	13	50	97	29	123	604	True
30298	6	9	15	13	27	39	False
21278	6	13	81	17	28	39	False
34503	2	2	2	2	2	3	False
42942	9	20	29	20	34	92	False
51855	3	3	4	3	3	3	False
30579	1	2	4	2	2	2	False
24570	3	4	5	4	6	17	False
13639	2	2	2	4	5	6	False
31431	5	9	10	14	17	54	False
34924	1	2	2	3	3	3	False
11229	13	61	127	32	163	555	True
4456	7	9	11	15	19	31	True
47707	2	3	3	5	6	8	False
36916	5	10	16	12	23	26	False
40607	6	12	65	19	25	35	False
40001	1	1	2	13	14	23	False
21332	2	4	9	3	3	3	False
3182	1	1	1	1	1	1	False
38337	6	8	40	12	15	29	False
39998	6	12	22	17	34	46	False
2506	7	11	15	20	30	48	False
10422	11	20	32	24	54	232	False
16089	10	26	58	28	67	149	False
5771	1	1	1	1	1	1	False
41164	8	15	20	14	24	1516	False
10416	11	33	51	22	75	157	False
2207	7	11	14	7	9	14	False
38499	1	1	5	1	1	2	False
4054	10	20	95	26	51	280	False
42659	11	34	84	26	70	185	True
40576	7	18	47	25	64	155	False
16106	8	13	36	20	28	44	True
33592	3	4	5	9	10	51	False
28674	2	2	4	2	2	4	False
12995	2	2	4	2	2	3	False
33341	4	13	93	16	29	179	False
28577	10	24	65	25	73	408	False
6184	3	3	10	8	10	21	False
6007	10	44	76	29	93	374	False
28831	1	1	6	1	1	1	False
19637	9	20	45	23	46	213	False
2345	7	10	22	9	10	18	False
7535	7	9	23	12	15	31	True
5797	9	18	30	20	42	58	False
942	9	12	33	15	23	46	False
6174	8	19	48	23	48	166	False
33374	6	17	50	23	41	108	False
34605	8	19	266	24	46	228	False
31288	12	53	217	32	122	324	True
